t # 0
v 1847 6
v 1848 22
v 1849 6
v 1850 36
v 1851 6
v 1852 60
v 1853 6
v 1854 58
v 1855 58
v 1856 60
v 1857 60
v 1858 6
v 1859 60
v 1860 46
v 1861 6
v 1862 3
v 1863 73
v 1864 73
v 1865 70
v 1866 6
v 1867 6
v 1868 60
v 1869 60
v 1870 60
v 1871 60
v 1872 60
v 1873 60
v 1874 60
v 1875 60
v 1876 60
v 1877 60
v 1878 6
v 1879 6
v 1880 60
v 1881 6
v 1882 60
v 1883 6
v 1884 6
v 1885 6
v 1886 6
v 1887 60
v 1888 60
v 1889 6
v 1890 60
v 1891 14
v 1892 14
v 1893 60
v 1894 60
v 1895 60
v 1896 60
v 1897 6
v 1898 6
v 1899 6
v 1900 3
v 1901 3
v 1902 6
v 1903 6
v 1904 36
v 1905 41
v 1906 6
v 1907 3
v 1908 3
v 1909 3
v 1910 3
v 1911 3
v 1912 6
v 1913 60
v 1914 67
v 1915 6
v 1916 6
v 1917 2
v 1918 3
v 1919 3
v 1920 3
v 1921 3
v 1922 51
v 1923 6
v 1924 12
v 1925 6
v 1926 3
v 1927 60
v 1928 6
v 1929 60
v 1930 45
v 1931 6
v 1932 60
v 1933 6
v 1934 6
v 1935 42
v 1936 6
v 1937 6
v 1938 13
v 1939 12
v 1940 6
v 1941 12
v 1942 44
v 1943 6
v 1944 6
v 1945 6
v 1946 12
v 1947 6
v 1948 6
v 1949 6
v 1950 6
v 1951 6
v 1952 45
v 1953 6
v 1954 6
v 1955 22
v 1956 6
v 1957 79
v 1958 79
v 1959 79
v 1960 79
v 1961 79
v 1962 6
v 1963 51
v 1964 36
v 1965 42
v 1966 42
v 1967 6
v 1968 60
v 1969 60
v 1970 46
v 1971 60
v 1972 60
v 1973 6
v 1974 14
v 1975 60
v 1976 60
v 1977 14
v 1978 60
v 1979 60
v 1980 60
v 1981 60
v 1982 60
v 1983 70
v 1984 73
v 1985 12
v 1986 60
v 1987 60
v 1988 48
v 1989 53
v 1990 60
v 1991 3
v 1992 3
v 1993 7
v 1994 48
v 1995 38
v 1996 7
v 1997 48
v 1998 60
v 1999 60
v 2000 60
v 2001 60
v 2002 60
v 2003 60
v 2004 60
v 2005 60
v 2006 45
v 2007 60
v 2008 60
v 2009 6
v 2010 6
v 2011 6
v 2012 73
v 2013 6
v 2014 60
v 2015 14
v 2016 60
v 2017 60
v 2018 6
v 2019 44
v 2020 60
v 2021 60
v 2022 60
v 2023 6
v 2024 60
v 2025 60
v 2026 51
v 2027 6
v 2028 6
v 2029 6
v 2030 60
v 2031 17
v 2032 70
v 2033 73
v 2034 3
v 2035 6
v 2036 70
v 2037 6
v 2038 6
v 2039 6
v 2040 45
v 2041 45
v 2042 42
v 2043 6
v 2044 6
v 2045 6
v 2046 6
v 2047 6
v 2048 60
v 2049 51
v 2050 6
v 2051 22
v 2052 6
v 2053 6
v 2054 12
v 2055 6
v 2056 6
v 2057 13
v 2058 13
v 2059 13
v 2060 12
v 2061 42
v 2062 60
v 2063 73
v 2064 6
v 2065 58
v 2066 74
v 2067 3
v 2068 36
v 2069 12
v 2070 6
v 2071 45
v 2072 6
v 2073 6
v 2074 6
v 2075 6
v 2076 6
v 2077 45
v 2078 60
v 2079 60
v 2080 60
v 2081 60
v 2082 60
v 2083 60
v 2084 60
v 2085 60
v 2086 6
v 2087 6
v 2088 60
v 2089 6
v 2090 44
v 2091 45
v 2092 6
v 2093 13
v 2094 60
v 2095 60
v 2096 6
v 2097 60
v 2098 60
v 2099 6
v 2100 60
v 2101 60
v 2102 6
v 2103 51
v 2104 46
v 2105 51
v 2106 6
v 2107 45
v 2108 6
v 2109 6
v 2110 60
v 2111 60
v 2112 38
v 2113 12
v 2114 45
v 2115 6
v 2116 60
v 2117 73
v 2118 6
v 2119 6
v 2120 6
v 2121 6
v 2122 13
v 2123 6
v 2124 6
v 2125 6
v 2126 22
v 2127 6
v 2128 6
v 2129 73
v 2130 6
v 2131 6
v 2132 6
v 2133 44
v 2134 6
v 2135 3
v 2136 67
v 2137 45
v 2138 6
