t # 0
v 320114 49
v 274663 6
v 2748 14
v 4598 60
v 315532 6
v 102499 6
v 2039 60
v 2038 60
v 321240 45
v 5201 6
v 411126 14
v 5202 13
v 411123 14
v 5206 6
v 5209 6
v 5208 6
v 11992 13
v 54585 6
v 11997 51
v 11996 51
v 171161 22
v 268206 6
v 397548 70
v 122797 6
v 1911 14
v 339800 12
v 18314 6
v 372563 6
v 18319 6
v 1910 36
v 3049 14
v 397542 51
v 3041 46
v 3040 60
v 3043 60
v 3042 36
v 3045 60
v 397540 51
v 3047 46
v 3046 60
v 284472 6
v 1913 36
v 1090 35
v 85911 6
v 142528 6
v 142529 6
v 226917 6
v 280590 6
v 103071 6
v 419807 78
v 106559 6
v 417401 6
v 1915 36
v 364540 12
v 129648 45
v 415666 6
v 415667 6
v 263054 6
v 267002 70
v 267001 67
v 1322 7
v 1323 20
v 1320 38
v 1321 53
v 1326 2
v 1327 20
v 1325 38
v 1328 48
v 266754 6
v 266755 6
v 15340 6
v 15341 6
v 6453 6
v 15343 6
v 150848 6
v 6902 6
v 6456 6
v 12429 51
v 8136 6
v 8137 6
v 413792 51
v 8131 6
v 413790 51
v 413791 51
v 328912 12
v 123114 6
v 123116 22
v 329189 6
v 228345 6
v 288038 6
v 3959 60
v 3958 60
v 91830 12
v 3953 60
v 3952 60
v 3951 60
v 3950 60
v 286592 6
v 3956 14
v 3955 14
v 3954 14
v 8359 12
v 115988 6
v 115989 6
v 231185 6
v 229963 12
v 336772 6
v 144203 6
v 34744 6
v 8356 45
v 393591 24
v 307182 12
v 334559 6
v 334552 45
v 368637 6
v 249282 6
v 334557 6
v 181239 22
v 250912 6
v 436815 36
v 73196 6
v 4062 60
v 50170 6
v 4060 58
v 4061 58
v 4066 60
v 4067 60
v 349786 6
v 4065 60
v 4068 46
v 263941 6
v 271148 3
v 299487 73
v 299484 73
v 299485 70
v 420394 6
v 354706 6
v 3603 60
v 3602 60
v 3601 60
v 3600 60
v 3607 60
v 3606 60
v 3605 60
v 3604 60
v 3609 60
v 3608 60
v 57766 6
v 11439 6
v 4786 60
v 11430 6
v 4593 60
v 11435 6
v 323659 6
v 17101 6
v 227346 6
v 4453 60
v 4452 60
v 372457 6
v 4450 60
v 4457 14
v 4456 14
v 4455 60
v 4454 60
v 4459 60
v 4458 60
v 57490 6
v 248663 6
v 235989 6
v 316985 3
v 316980 3
v 278050 6
v 349773 6
v 427011 36
v 1760 41
v 410835 6
v 275831 3
v 275832 3
v 275835 3
v 275834 3
v 275836 3
v 85148 6
v 1851 60
v 295107 67
v 419329 6
v 320300 6
v 1143 2
v 310973 3
v 310970 3
v 310976 3
v 310977 3
v 295108 51
v 10453 6
v 10452 12
v 156329 6
v 273368 3
v 1856 60
v 10107 6
v 1857 60
v 195172 45
v 357736 6
v 4780 60
v 176339 6
v 18813 6
v 8907 42
v 18817 6
v 18816 6
v 8903 13
v 18814 12
v 380250 6
v 367530 12
v 152007 44
v 367533 6
v 367538 6
v 331280 6
v 7124 12
v 49901 6
v 312192 6
v 312191 6
v 275248 6
v 37629 6
v 149569 45
v 346537 6
v 169731 6
v 132949 22
v 211173 6
v 1669 79
v 1667 79
v 1665 79
v 1663 79
v 1661 79
v 81477 6
v 273423 51
v 2828 36
v 269963 42
v 269960 42
v 178965 6
v 2825 60
v 2826 60
v 2827 46
v 2820 60
v 2821 60
v 271680 6
v 2823 14
v 3386 60
v 3387 60
v 3384 14
v 3385 60
v 3382 60
v 3383 60
v 3380 60
v 3381 60
v 302210 70
v 302213 73
v 217822 12
v 3388 60
v 3389 60
v 1409 48
v 1408 53
v 3196 60
v 272885 3
v 272884 3
v 1401 7
v 1400 48
v 1407 38
v 1406 7
v 1404 48
v 4215 60
v 4214 60
v 4217 60
v 4216 60
v 4211 60
v 4210 60
v 4213 60
v 4212 60
